,prod_color,article_id
0,"Strap top, color:  Black",108775015
1,"Strap top, color:  White",108775044
2,"Strap top (1), color:  Off White",108775051
3,"OP T-shirt (Idro), color:  Black",110065001
4,"OP T-shirt (Idro), color:  White",110065002
5,"OP T-shirt (Idro), color:  Light Beige",110065011
6,"20 den 1p Stockings, color:  Black",111565001
7,"20 den 1p Stockings, color:  Beige",111565003
8,"Shape Up 30 den 1p Tights, color:  Black",111586001
9,"Support 40 den 1p Tights, color:  Black",111593001
10,"200 den 1p Tights, color:  Black",111609001
13,"Alice BANDEAU 2-p, color:  White",114428026
14,"Alice BANDEAU 2-p, color:  Light Grey",114428030
15,"Frugan longsleeve, color:  Dark Blue",116379047
23,"Babette long, color:  Black",120129001
24,"Babette long, color:  Black",120129014
25,"Babette long, color:  Dark Red",120129018
26,"Babette long, color:  Dark Grey",120129025
27,"Control Top 50 den 1p Tights, color:  Black",123173001
28,"2p Claw, color:  Black",126589006
29,"2p Claw, color:  Greyish Beige",126589007
30,"2p Claw, color:  Light Orange",126589010
31,"2p Claw, color:  Silver",126589011
32,"2p Claw, color:  Gold",126589012
33,"Pirate Leggings (1), color:  Black",129085001
34,"Pirate Leggings (1), color:  White",129085026
35,"Pirate Leggings (1), color:  Grey",129085027
36,"Black Umbrella, color:  Black",130035001
39,"Mama 100 den 1p Tights, color:  Black",144993001
49,"Hair Ring, color:  Gold",146721001
50,"Hair Ring, color:  Silver",146721002
51,"200 den 1p leggings, color:  Black",146730001
53,"Nouvelle 1p Stay Up, color:  Black",148033001
54,"Nouvelle 1p Stay Up, color:  Beige",148033006
57,"OP Strapless^, color:  Black",153115019
58,"OP Strapless^, color:  Light Beige",153115020
59,"OP Strapless^, color:  White",153115021
60,"OP Strapless^, color:  Dark Pink",153115039
61,"OP Strapless^, color:  Yellowish Brown",153115040
62,"OP Strapless^, color:  Yellowish Brown",153115043
63,"Box 4p Socks, color:  Beige",156224001
64,"Box 4p Socks, color:  Black",156224002
65,"Box 4p Kneehighs, color:  Black",156227001
66,"Box 4p Kneehighs, color:  Beige",156227002
67,"Box 4p Tights, color:  Black",156231001
68,"Box 4p Tights, color:  Beige",156231002
73,"Highwaist 30 den 1p Tights, color:  Black",158340001
74,"3p Sneaker Socks, color:  Black",160442007
75,"3p Sneaker Socks, color:  White",160442010
76,"Sneaker 3p Socks, color:  Light Grey",160442042
77,"3p Sneaker Socks, color:  Light Grey",160442043
83,"Scallop 5p Socks, color:  Black",164912035
84,"Scallop 5p Socks, color:  Dark Pink",164912039
112,"2 Row Braided Headband (1), color:  Black",176754001
113,"2 Row Braided Headband (1), color:  Yellowish Brown",176754003
114,"2 Row Braided Headband (1), color:  Light Orange",176754019
115,"Long Leggings, color:  Black",179123001
116,"Long Leggings (1), color:  Dark Grey",179123040
117,"Control Top 100 den 1p Tights, color:  Black",179208001
118,"Control Top 100 den 1p Tights, color:  Black",179208008
119,"Basic 2p Overknee, color:  Black",179393001
120,"Basic 2p Overknee, color:  Dark Grey",179393018
121,"Austin basic leather hip belt, color:  Black",179950001
122,"Austin basic leather hip belt, color:  Yellowish Brown",179950002
123,"Austin basic leather hip belt, color:  Black",179950017
132,"Fleece 1 p tights, color:  Black",182909001
133,"Bobby elastic waist belt, color:  Black",183815013
134,"FIFTY SHADES moulded halternec, color:  White",184121021
135,"FIFTY SHADES  tie brief, color:  White",184123020
137,"4p Claw, color:  Black",186262001
138,"4p Claw, color:  Greyish Beige",186262006
139,"4p Claw, color:  Light Orange",186262007
140,"4p Claw, color:  Transparent",186262013
141,"10p Terry w.o. Clip, color:  Black",186264014
142,"10p Terry w.o. Clip, color:  Greyish Beige",186264015
143,"10p Terry w.o. Clip, color:  Beige",186264016
144,"10p Basic Terry, color:  Black",186266004
145,"12p Claw, color:  Black",186267001
146,"Harem trousers, color:  Black",186372011
147,"Harem trousers, color:  Dark Blue",186372042
148,"Harem trousers, color:  Dark Blue",186372045
160,"Spanx alot shape Swimsuit, color:  Black",188183001
161,"SPANX ALOT swimsuit (1), color:  Dark Grey",188183008
162,"SPANX ALOT swimsuit (1), color:  White",188183009
163,"SPANX ALOT swimsuit (1), color:  Dark Red",188183010
164,"SPANX ALOT swimsuit (1), color:  Light Orange",188183012
165,"SPANX ALOT swimsuit (1), color:  Dark Grey",188183014
166,"Spanx alot Swimsuit, color:  Dark Green",188183015
167,"Spanx alot Swimsuit, color:  Black",188183016
168,"Spanx alot Swimsuit, color:  Black",188183018
169,"Spanx alot Swimsuit, color:  Dark Blue",188183020
170,"Spanx alot Swimsuit, color:  Red",188183021
171,"Spanx alot Swimsuit, color:  Light Beige",188183022
172,"Spanx alot Swimsuit, color:  Light Blue",188183023
199,"Nora tee, color:  Light Blue",189955076
200,"Basic 5p Minishaftless, color:  White",190021001
201,"Basic 5p Minishaftless, color:  Black",190021003
202,"Basic 5p Minishaftless, color:  Beige",190021021
206,"Fleece leggings 1 p, color:  Black",194037001
207,"Fleece leggings 1 p, color:  Grey",194037002
222,"Babette cropped, color:  Black",198714001
223,"Babette cropped, color:  Dark Blue",198714006
225,"40 den 2p Tights, color:  Black",200182001
226,"40 den 2p Tights, color:  Black",200182002
230,"Heavy plain 2 p tights, color:  Black",201219001
231,"Heavy plain 2 p tights, color:  Grey",201219003
232,"Heavy plain 2 p tights, color:  Dark Red",201219011
233,"Heavy plain 2 p tights, color:  Dark Green",201219012
234,"Heavy plain 2 p tights, color:  Beige",201219013
235,"Heavy plain 2 p tights, color:  Dark Red",201219014
236,"Heavy plain 2 p tights, color:  Dark Orange",201219016
237,"Heavy plain 2 p tights, color:  Dark Blue",201219017
238,"Rihanna dress, color:  White",202017055
250,"PICKUP ARTIST top, color:  Black",205225001
251,"Janet SL (W), color:  Light Pink",211143021
252,"Janet SL (W), color:  Blue",211143022
253,"Janet SL (W), color:  Light Pink",211143023
254,"Janet SL (W), color:  White",211143036
255,"Janet SL-set (W), color:  Blue",211143037
256,"Janet SL-set (W), color:  Dark Blue",211143040
285,"30p pins, color:  Black",214844001
286,"30p pins, color:  Greyish Beige",214844002
287,"30p pins, color:  Gold",214844003
288,"30p pins, color:  Light Orange",214844004
289,"30p pins, color:  Light Orange",214844008
290,"Bob v-neck tee, color:  Black",215248002
291,"Coolio sunglasses, color:  Yellowish Brown",215303001
292,"Coolio sunglasses, color:  Black",215303002
293,"Coolio sunglasses, color:  Black",215303005
294,"Classic Fancy pilot (1), color:  Light Grey",215324023
302,"Mama 40 den 2p Tights, color:  Black",215589001
303,"Mama 40 den 2p Tights, color:  Black",215589002
305,"4p Elastic Headband (1), color:  Light Orange",216961011
311,"Polly 3p minishaftless, color:  Beige",217727002
312,"Polly 3p minishaftless, color:  Black",217727003
313,"Polly 3p minishaftless, color:  Beige",217727018
314,"Beyonce cropped tank, color:  Black",218354001
315,"Beyonce cropped tank, color:  Grey",218354020
316,"Beyonce cropped tank, color:  White",218354021
317,"Beyonce cropped tank, color:  Beige",218354045
318,"Beyonce cropped tank, color:  Off White",218354047
319,"Paris glove., color:  Black",218829002
320,"Paris glove., color:  Dark Pink",218829014
321,"Paris glove., color:  Yellowish Brown",218829015
327,"Aguilera maxidress, color:  Black",220094001
328,"Aguilera maxidress, color:  Greenish Khaki",220094010
329,"Aguilera maxidress, color:  Dark Blue",220094011
330,"Aguilera maxidress, color:  Light Beige",220094015
331,"Aguilera maxidress, color:  Off White",220094016
332,"Aguilera maxidress, color:  Grey",220094018
333,"Aguilera maxidress, color:  Blue",220094019
334,"Aguilera maxidress, color:  Dark Purple",220094020
335,"Aguilera maxidress, color:  Dark Orange",220094021
336,"Cool Olja round, color:  Yellowish Brown",220365001
337,"Olja sunglasses, color:  Light Orange",220365002
338,"Olja sunglasses, color:  Dark Green",220365004
339,"Cool Olja round, color:  Light Orange",220365007
340,"Pinocchio hat, color:  Black",224314007
341,"Pinocchio hat, color:  Light Orange",224314011
342,"Pinocchio hat, color:  Beige",224314013
343,"Pinocchio hat, color:  Beige",224314016
344,"Pinocchio hat, color:  Light Grey",224314017
345,"Pinocchio hat, color:  Light Beige",224314018
346,"New Carrie Glove, color:  Black",224337001
347,"New Carrie Glove, color:  Light Grey",224337008
350,"Flora hip belt (1), color:  Black",224606019
351,"Flora hip belt (1), color:  Gold",224606022
352,"Flora hip belt, color:  Light Orange",224606025
353,"Flora hip belt (1), color:  Gold",224606031
363,"Flirty Maria 2p Hawaii, color:  Off White",226011008
364,"Astaire 1p Overknee, color:  Black",226959007
365,"Astaire 1p Overknee, color:  Beige",226959008
366,"Astaire 1p Overknee, color:  Dark Red",226959009
367,"20 den 2p Tights, color:  Black",228257001
368,"20 den 2p Tights, color:  Beige",228257002
369,"20 den 2p Tights, color:  Beige",228257003
370,"20 den 2p Tights, color:  Yellowish Brown",228257004
371,"20 den 2p Tights, color:  Dark Grey",228257005
372,"20 den 2p Tights, color:  Yellowish Brown",228257008
383,"Mama 200 den Tights, color:  Black",234421001
384,"Mama 200 den Tights, color:  Dark Red",234421002
385,"Mama 200 den Tights, color:  Dark Blue",234421004
386,"Push Up 30 den 1p Tights, color:  Black",234432001
387,"Push Up 30 den 1p Tights, color:  Beige",234432002
391,"Basic 4pk studs, color:  White",235596002
392,"Emma long-john PJ (K), color:  Red",235732024
393,"Emma long-john PJ (K), color:  Light Pink",235732026
394,"Emma long-john PJ (K), color:  Light Grey",235732029
396,"Helsinki, color:  Black",237222001
397,"Helsinki, color:  White",237222012
398,"Ingrid, color:  Dark Blue",237222016
399,"Theron, color:  Black",237347004
400,"Theron (1), color:  Grey",237347011
401,"Theron (1), color:  Light Turquoise",237347017
402,"Theron, color:  Pink",237347022
403,"Theron (1), color:  Light Blue",237347024
404,"Theron, color:  Dark Red",237347025
405,"Theron (1), color:  Off White",237347027
406,"Theron (1), color:  Purple",237347028
407,"Theron (1), color:  Other Orange",237347031
408,"Theron (1), color:  Dark Blue",237347035
409,"Theron, color:  Light Pink",237347036
410,"Theron (1), color:  Dark Blue",237347037
411,"Theron, color:  Beige",237347039
412,"Theron, color:  Light Blue",237347040
413,"Theron, color:  Beige",237347043
414,"Theron (1), color:  Light Turquoise",237347044
415,"Theron (1), color:  White",237347045
416,"Theron, color:  Light Orange",237347052
417,"Theron, color:  Greenish Khaki",237347053
418,"Theron (1), color:  Grey",237347055
419,"Theron (1), color:  Dark Purple",237347059
420,"Theron (1), color:  Grey",237347060
421,"Theron (1), color:  Pink",237347063
422,"Theron (1), color:  White",237347069
426,"Support 70 den 1p Tights, color:  Black",240561001
438,"Fix it tote bag, color:  Black",241436001
439,"Fix it tote bag, color:  Light Beige",241436006
451,"Straight Edge 5p Socks, color:  Black",243937001
452,"Straight Edge 5p Socks, color:  Dark Grey",243937018
453,"Straight Edge 5p Socks, color:  Dark Red",243937023
454,"Straight Edge 5p Socks, color:  Beige",243937024
455,"Straight Edge 5p Socks, color:  Black",243937025
456,"Straight Edge 5p Socks, color:  Black",243937028
457,"Silver lake, color:  Dark Blue",244267001
458,"Silver lake, color:  White",244267004
459,"Silver lake, color:  Light Pink",244267017
460,"Silver lake, color:  Light Blue",244267021
461,"Silver lake, color:  Dark Beige",244267027
462,"Silver lake, color:  Dark Blue",244267028
463,"Silver lake, color:  Light Pink",244267029
464,"Silver lake, color:  Black",244267032
481,"Skinny Ankel Denim, color:  Light Blue",249136006
482,"Skinny Ankel Denim, color:  White",249136011
483,"Skinny Ankel Denim, color:  Light Blue",249136015
484,"Skinny Ankel Denim, color:  Blue",249136019
485,"Skinny Ankel Denim, color:  Blue",249136020
486,"Skinny Ankel Denim, color:  Dark Blue",249136022
487,"Skinny Ankel Denim, color:  Light Blue",249136023
488,"Skinny Ankel Denim, color:  Blue",249136025
489,"Skinny Ankel Denim, color:  Blue",249136028
490,"Skinny Ankel Denim, color:  Dark Blue",249136034
491,"Mama Heavy Plain 2p Tights, color:  Black",250099001
492,"Mama Heavy Plain 2p Tights, color:  Grey",250099002
494,"Push up 70 den 1p Tights, color:  Black",251510001
503,"PICKUP ARTIST cheeky brief, color:  Black",253176016
504,"OP Push Melbourne^, color:  Black",253448001
505,"OP Push Melbourne^, color:  White",253448002
506,"OP Push Melbourne^, color:  Light Beige",253448003
507,"OP Push Melbourne^, color:  White",253448056
508,"OP Push Melbourne^, color:  Yellowish Brown",253448059
509,"OP Push Melbourne^, color:  Yellowish Brown",253448062
526,"Elsa high waist, color:  Black",254940026
540,"WIDEAWAKE triangle, color:  Black",256511038
